brand;code;series;model;kind;size;description
sabian;21785XB;AAX;X-Plosion Fast Crash;Crash;17;Super-fast and with a full, explosive response, the X-Plosion Fast Crash redefines the power potential for thinner cymbals with even faster, punchier accents at all volumes.
sabian;21885XB;AAX;X-Plosion Fast Crash;Crash;18;Super-fast and with a full, explosive response, the X-Plosion Fast Crash redefines the power potential for thinner cymbals with even faster, punchier accents at all volumes.
sabian;21985XB;AAX;X-Plosion Fast Crash;Crash;19;Super-fast and with a full, explosive response, the X-Plosion Fast Crash redefines the power potential for thinner cymbals with even faster, punchier accents at all volumes.
sabian;21600X;AAX;O-Zone;Crash;16;With a bright, shimmering sound and a multi-holed design increasing the agitation in its tone, this O-Zone delivers bite with a touch of anger.
sabian;21800X;AAX;O-Zone;Crash;18;With a bright, shimmering sound and a multi-holed design increasing the agitation in its tone, this O-Zone delivers bite with a touch of anger.
sabian;21606XBV;AAX;V-Crash;Crash;16;The bright sound of this cymbal – powered by the silver in its B20 Bronze – slices through the music around it.
sabian;21706XBV;AAX;V-Crash;Crash;17;The bright sound of this cymbal – powered by the silver in its B20 Bronze – slices through the music around it.
sabian;21806XBV;AAX;V-Crash;Crash;18;The bright sound of this cymbal – powered by the silver in its B20 Bronze – slices through the music around it.
sabian;21906XBV;AAX;V-Crash;Crash;19;The bright sound of this cymbal – powered by the silver in its B20 Bronze – slices through the music around it.
sabian;22006XBV;AAX;V-Crash;Crash;20;The bright sound of this cymbal – powered by the silver in its B20 Bronze – slices through the music around it.
sabian;218XFC;AAX;Freq Crash;Crash;18;Exclusive dual lathing process results in this unique, intensely-cutting cymbal that fills the stage with huge, open sound. Time to get your Freq on!
sabian;216XISOCB;AAX;Iso Crash;Crash;16;Six holes isolate the bell for pure, strong bell tone, but also allow the cymbal to sound lighter than it is. So you get the sizzle of a thin crash with the strength, volume and projection of a medium.
sabian;218XISOCB;AAX;Iso Crash;Crash;18;Six holes isolate the bell for pure, strong bell tone, but also allow the cymbal to sound lighter than it is. So you get the sizzle of a thin crash with the strength, volume and projection of a medium.
sabian;220XISOCB;AAX;Iso Crash;Crash;20;Six holes isolate the bell for pure, strong bell tone, but also allow the cymbal to sound lighter than it is. So you get the sizzle of a thin crash with the strength, volume and projection of a medium.
sabian;21401X;AAX;Studio Hats;Hi Hat;14;Ideal for lower volumes. Warm and responsive, with soft, bright tones and full, open sound.
sabian;21402X;AAX;Stage Hats;Hi Hat;14;Highly responsive, with bright, clean sounds that cut clearly at any volume.
sabian;21403X;AAX;Metal Hats;Hi Hat;14;Tight and dry when closed, when opened this pairing becomes very metallic and aggressive.
sabian;21350X;AAX;Fusion Hats;Hi Hat;13;Fast, controlled, and cutting. Pairing of AAX top and heavy HH vented bottom is powerful.
sabian;21302XL;AAX;X-Celerator Hats;Hi Hat;13;Crisp and accurate with ‘Air Wave’ bottom eliminating air lock for maximum clarity
